Stock_Ticker,Trade_Type,Quantity,Price,Date,Profit_Loss,Holding_Period
VTI,Buy,8,230.6820374,2021-12-30,0.0,0.0
VEA,Buy,43,46.23843002,2021-12-30,0.0,0.0
VUG,Buy,6,316.3050842,2021-12-30,0.0,0.0
IWF,Buy,6,300.4624329,2021-12-30,0.0,0.0
IJH,Buy,37,53.86958313,2021-12-30,0.0,0.0
IJR,Buy,18,108.8562012,2021-12-30,0.0,0.0
GLD,Buy,11,169.8000031,2021-12-30,0.0,0.0
XLE,Buy,40,49.18734741,2021-12-30,0.0,0.0
IVW,Buy,24,82.0736084,2021-12-30,0.0,0.0
SCHX,Buy,112,17.7521286,2021-12-30,0.0,0.0
XLF,Buy,16,36.88766479,2021-12-30,0.0,0.0
SCHB,Buy,1,17.24323082,2021-12-30,0.0,0.0
IJR,Sell,18,108.7232819,2021-12-31,-2.39,1.0
GLD,Sell,11,170.9600067,2021-12-31,10.21,1.0
IVW,Sell,24,81.59576416,2021-12-31,-11.47,1.0
XLF,Sell,16,36.82165146,2021-12-31,-1.06,1.0
VTI,Sell,8,231.405838,2022-01-03,4.63,2.0
VEA,Buy,13,46.50093842,2022-01-03,0.0,0.0
VUG,Buy,2,316.9033813,2022-01-03,0.0,0.0
IJH,Buy,11,54.09818268,2022-01-03,0.0,0.0
VGT,Buy,1,451.2265015,2022-01-03,0.0,0.0
VO,Buy,2,239.655014,2022-01-03,0.0,0.0
RSP,Buy,4,153.9947662,2022-01-03,0.0,0.0
IVW,Buy,7,82.22962952,2022-01-03,0.0,0.0
VEU,Buy,11,55.80309677,2022-01-03,0.0,0.0
SCHX,Buy,35,17.80186462,2022-01-03,0.0,0.0
VCSH,Buy,8,73.5659256,2022-01-03,0.0,0.0
IWR,Buy,8,78.88246918,2022-01-03,0.0,0.0
SCHB,Buy,36,17.29342842,2022-01-03,0.0,0.0
SPLG,Buy,11,53.50824356,2022-01-03,0.0,0.0
VGSH,Buy,9,55.33269882,2022-01-03,0.0,0.0
EFV,Buy,1,44.60700607,2022-01-03,0.0,0.0
VEA,Sell,56,46.67292786,2022-01-04,7.71,1.0
VO,Sell,2,239.4753113,2022-01-04,-0.36,1.0
IVW,Sell,7,81.41046143,2022-01-04,-5.73,1.0
VUG,Buy,1,302.3279419,2022-01-05,0.0,0.0
IJH,Sell,48,53.12663651,2022-01-05,-46.63,2.0
VIG,Buy,2,160.0428162,2022-01-05,0.0,0.0
EFA,Buy,5,72.33716583,2022-01-05,0.0,0.0
RSP,Buy,2,152.8414001,2022-01-05,0.0,0.0
XLE,Buy,6,52.59030151,2022-01-05,0.0,0.0
IVW,Buy,4,78.93344879,2022-01-05,0.0,0.0
VEU,Sell,11,55.37787628,2022-01-05,-4.68,2.0
SCHX,Buy,20,17.40087891,2022-01-05,0.0,0.0
VCSH,Buy,4,73.44806671,2022-01-05,0.0,0.0
SCHF,Buy,21,17.11351585,2022-01-05,0.0,0.0
VT,Buy,3,99.36128998,2022-01-05,0.0,0.0
VV,Buy,1,206.5517731,2022-01-05,0.0,0.0
IWR,Sell,8,77.1556015,2022-01-05,-13.81,2.0
SCHB,Buy,21,16.89489937,2022-01-05,0.0,0.0
SPLG,Buy,6,52.45121384,2022-01-05,0.0,0.0
SPYG,Buy,5,68.05152893,2022-01-05,0.0,0.0
ACWI,Buy,3,99.05594635,2022-01-05,0.0,0.0
EFV,Buy,8,45.08957672,2022-01-05,0.0,0.0
VXF,Buy,2,169.0358582,2022-01-05,0.0,0.0
EEM,Buy,8,44.80102921,2022-01-05,0.0,0.0
VOE,Buy,2,139.75177,2022-01-05,0.0,0.0
